start	end	text
760	5920	シャランベーカー日語更快速高校間 搜索微信小程序日語輕鬆考
7400	8960	では始めます
13200	18420	一番 会社で女の人と男の人が話しています
19580	23180	男の人はこの後まず何をしますか
24640	28920	来月の新製品発表会だけど 会長の挨拶どうなってる
28920	31340	はい 了解いただいております
31340	33460	会長はもう抑えてある?
34160	39020	それはあの出席者数によって大きさが変わるかと思いまして
40020	43460	今は台所2つの会場を予約してありますが
43460	46820	なるほど じゃあとりあえず保留ってことで
46820	51080	出席者と会場が決まり次第 招待状の準備に取り掛かってくれる?
51400	51560	はい
52040	57500	それから当日の会長の送り向かいの車 頼んどいてくれると助かるんだけど
57500	58320	承知しました
58320	61120	できることからやっといて よろしくね
61120	61380	はい
67160	71300	男の人はこの後まず何をしますか
86620	87400	2番
88120	93060	大学のサークルで女の学生と男の学生が話しています
94160	98780	女の学生はサークルの他のメンバーに何を伝えますか
100660	101280	先般は女の学生と男の学生が話しています
101280	101280	
101280	101420	はい
101420	104240	大型の台風が近づいてるみたいですね
104900	108160	サークルのバーベキュー 今度の日曜日ですよね
108720	109920	大丈夫でしょうか
109920	110540	うん
110540	114620	僕もその件でサークルのみんなに 連絡しなきゃと思ってたとこ
114620	117200	台風週末にこっち来るみたいだね
117200	117720	はい
118120	119680	みんな楽しみにしてるし
120280	122260	雨覚悟で予定通りやりますか
122260	125020	うーん 安全面が心配だしね
125460	126900	今回は残念だけど
126900	127560	え
128060	129380	演技じゃなくてですか
130080	134420	うん だって1週間伸ばすと学校の試験期間と重なっちゃうし
134420	135620	あそっか
136860	140340	じゃあ日曜じゃなくて土曜にするっていうのはどうですか
141080	142900	気持ちわかんなくもないけど
143740	145980	でも台風ってスピードを読めないから
146320	148200	予報通り来るとは限らないよ
148780	149100	そうですね
150200	152220	じゃあみんなに連絡回しておいてくれる
152800	153120	はい
158980	159420	はい
159420	163640	女の学生はサークルの他のメンバーに何を伝えますか
179380	180260	3番
181060	185680	レストランで女の店長と男の店員が話しています
186440	190600	男の店員はこの後まず何をしますか
211080	214760	懐かしいって思ってまた来てくれる方もいるかもしれないじゃない
215440	218920	最近は若い人の間で昔のものが受けてるっていうし
218920	219420	なるほど
220000	222640	割引券をつけたらっていう提案もらってたけど
222640	225160	やっぱり効果は一時的なものよね
225540	226440	そうですかね
227280	231060	じゃあ今やってる飲み物やデザートと組み合わせたセットメニューは
231060	233160	うん それはそのまま継続
234480	238100	そうそう 30周年おきに内装も新しくしたいと思ってるから
238100	239380	また相談に乗ってね
239380	242220	じゃあさっき頼んだことお願いね
242220	243400	はいわかりました
243400	244220	やっておきます
250020	254160	男の店員はこの後まず何をしますか
270100	270860	4番
283200	283600	先生
284220	287860	今日先生の中級町会の授業を受けてみたんですけど
288380	290080	僕にはちょっと優しいようなので
290080	292780	町会だけでも上級クラスに行っていいですか
299380	301500	結果に従ってもらうことになってるんですよ
301980	306560	でもあのテストは文法や漢字や聞き取り全部が出題されてて
307100	310680	僕は漢字が苦手だから合計点が低くなってしまったんです
311100	312520	他の問題はできてました
313120	313480	そう
314020	318040	でもね町会も中級と上級の差は大きいわよ
318040	318800	頑張ります
319380	320440	うーん
320440	322900	じゃあ一度出てみますか
322900	326500	でやっぱり難しかったら私の授業に戻っていらっしゃい
327380	330000	でも私が勝手に許可するわけにもいかないから
330460	333320	まずはそのクラスの先生に話してみてください
333800	335040	わかりましたありがとうございます
336100	338600	でも本来は漢字をしっかり頑張って
338600	340680	全体的にレベルをあげないと
340680	341240	はい
342080	345660	じゃあ先生に許可をもらえたら事務にも報告してくださいね
346080	346640	わかりました
352420	357300	おとこの留学生はこの後まず何をしなければなりませんか
373200	373980	5番
374760	380620	大学で環境美化サークルの女の学生と男の学生が話しています
381600	385780	男の学生はこれから何をしなければなりませんか
387720	391480	先輩相変わらず大学の中ゴミが落ちてますよね
392040	392360	うん
392780	396620	ポイス的禁止のポスター大学のいろんな場所に貼ったのに
396620	398280	あまり効果上がってないね
398700	402440	すごく目立つって友達は言ってましたけどもっと貼りましょうか
402440	406860	ポスターを増やしたところで学内のゴミがゼロにはならないでしょ
407760	410240	ねえみんなの前で呼びかけてみてよ
411040	415420	皆さんゴミは必ずゴミ箱に行って僕がマイク持って言うんですか
416820	423040	うーん他のメンバーからは授業の空き時間にゴミ広いの活動をしたらどうかって案が出てたけど
423040	425380	そうですかやってみますか
425380	431000	でもメンバーだけでやってもね大学全体の意識を高めないとダメだよね
431000	436680	確かにあいつら偉いなーなんて人ごとって感じで見られてたも困りますよね
437100	441120	ゴミを拾うんじゃなくて拾うゴミがない状態を目指すべきじゃない
441120	443600	それでポスターを作ったんですもんね
443600	445680	じゃあさやっぱりマイクじゃない
446260	449840	いいですけど他のメンバーにも声かけてくださいよ
449840	456820	もちろんでも一度一人でやってみてそれからサークルのメンバーに提案するってのはどう?
457220	457940	わかりました
463820	468080	男の学生はこれから何をしなければなりませんか
483940	484820	6番
485660	488640	洋服の店で店長が話しています
489480	493600	この後店員は男性のスーツをどう展示しますか
495220	497760	今から商品の展示を変えます
498300	503080	夫人服はこのところ校長で高級なスーツなども予想以上に伸びています
503080	506560	しかし新主服の方は依然苦戦しています
507080	511820	働いている男性ならまあ生たーなど打ちできるものはともかく
511820	514260	会社に来ていく服には気を使っているはずです
515000	518240	でもスーツは頻繁に慎重するというものでもありません
518600	520660	となると小物の出番です
521580	525680	例えばマフラー一つで印象がガラリと変わることをアピールしたいと思います
526400	530820	その組み合わせに魅力を感じてスーツも買っていただけたら晩晩在です
531400	534180	このような方向で皆さん作業を始めてください
540020	544440	この後店員は男性のスーツをどう展示しますか
560100	565040	一番男の学生と女の学生が話しています
565880	570320	女の学生はどうしてホームページに日記を書いていますか
600320	603700	元気になるね面白かったよコメント書き込んじゃった
605040	608600	ありがとう意外に大勢の人が読んでくれてて驚いてるんだ
608980	613280	毎日更新してるんだよね豆だね大変じゃないの
613280	617700	初めて1年になるから習慣になっちゃったっていうか
617700	620400	その日会ったことをね思いつくまま
620400	624480	ネットで公開するのはやっぱりたくさんの人に読んでもらえるから
624880	627840	大勢の人っていうか離れた親に
628640	631420	忙しい時は面倒なこともあるんだけど
631860	635740	報告のつもりで書いてるの心配かけないようにと思って
636540	641520	そうなんだ僕の友達自分のホームページを見てもらったことがきっかけで
641520	645280	その人と結婚したんだそんなことは生まれかもしれないけど
645800	649060	ゆう子ちゃんも毎日書いてたら素敵な出会いがあるかもよ
650140	651840	そんなこと期待してないよ
657900	662420	女の学生はどうしてホームページに日記を書いていますか
678040	678920	2番
679700	683160	カグメーカーで部長が社員に話しています
684000	689080	部長は今後どのような机を作る必要があると言っていますか
712940	716200	市場調査の結果を受けて我が社の商品
716200	721020	特に子ども用の学習図形を見直す必要に迫られています
721820	726420	少子化の影響で一つの図形を兄弟で順に利用するというより
726420	730300	一人がずっと使い続けるという傾向が県庁に見られます
731120	735880	これまではお客様に買っていただきやすい手頃な価格帯の設定
735880	740700	そして子どもの好みを意識した学習図形の設計という方針でやってきましたが
741240	744400	これからは材料とデザインを工夫し
744400	749140	一生ものとなり得るものを提供することを考えていかなくてはいけないと思います
755180	760260	部長は今後どのような机を作る必要があると言っていますか
776140	776960	3番
777720	781160	留学説明会で先生が話しています
781940	786880	先生は留学の一番の利点はどんなことだと言っていますか
808940	809740	2番
809740	809740	
809740	809740	
809740	809740	
809740	814920	よく留学をした方がいいのですかという質問をされます
814920	818880	その時私は留学の機会に恵まれ
818880	823080	経済的にも可能であるなら是非チャレンジした方がいいと答えます
823760	826760	ただ留学せずとも成功する人もいるし
826760	832320	せっかくい文化に接する機会を持っても対して学ばないまま帰国する人もいます
833100	836380	そもそも海外留学のメリットとは何でしょうか
836380	841200	それは自分と向き合い自己理解を深めることだと考えます
841960	844480	留学すると語学を修得できます
845080	848060	そして国際的なネットワークも作ることができます
848520	852420	こういうことを通して世界という退局的な観点から
852420	855280	自分を見直すことができるということです
861140	865940	先生は留学の一番の利点はどんなことだと言っていますか
906620	908040	4番
918000	918320	2番
918320	921680	昨年のスポーツシューズの売り上げを見ると
922180	925180	弱年層向けの売り上げがかなり下がっているようだが
925720	928520	今後の販売戦略について君の考えは
929640	933920	確かに若者対象の商品の売り上げはかなり下がっています
933920	938220	ですから現場からは昨年売り上げを大きく伸ばした
938220	941300	高齢者にターゲットを絞るべきだという意見があります
941740	942360	そうか
942920	947020	しかし私は弱年層を諦めてしまうのはもったいないと思います
947900	950740	全体の売り上げに占める割合を見ますと
950740	954340	まだまだ高齢層より弱年層が上まっていますし
955160	958580	では引き続きどちらも販売対象としていくということ
958580	962580	私は高齢者向けの商品をやめてでも
962580	966900	弱年層向けの商品の販売を強化していくべきだと考えています
967600	968700	それはまたどうして
969620	973420	これからもますます日本の社会は高齢化していくというのに
973420	977540	確かに国内市場だけを考えればおっしゃるとおりだと思います
978120	980660	しかし世界市場も視野にいれれば
980660	982220	まだまだチャンスがあります
983800	985480	なるほどそれもいい考えだね
993380	998540	女の人はこれから商品をどのように売っていきたいと言っていますか
1014140	1015100	5番
1015980	1020600	ラジオでアナウンサーが文学省の受賞について話しています
1021280	1026600	作家の尾田さんの作品はどんな点が評価されて受賞しましたか
1050460	1052120	作家の尾田なおさんが
1052120	1055080	自身初の長編小説 風で
1055080	1057420	今年の文学省を受賞しました
1058420	1061420	作品に出てくる人物一人一人の心理を
1061420	1064420	丁寧に描いた点が受賞につながったとのことです
1064960	1066360	尾田さんはこれまでも
1066360	1068500	社会と人々のあり方を
1068500	1071400	鋭い視点で描いた作品で評価されていました
1072160	1073400	前回の先行では
1073400	1075080	人間関係の中で
1075080	1078120	揺れる心のひだを独特の世界観で描いた
1078120	1081100	優雅家が文学省候補となりましたが
1081100	1082900	惜しくも受賞を逃し
1082900	1085300	今回初めての受賞となりました
1091020	1093080	作家の尾田さんの作品は
1093080	1096360	どんな点が評価されて受賞しましたか
1112440	1113160	6番
1113980	1116840	ラジオでアナウンサーが話しています
1117640	1119480	平均株価が上がったのは
1119480	1121440	どうしてだと言っていますか
1145380	1145740	今年
1145740	1148160	紙判期の東京株式市場を
1148160	1148920	振り返ります
1149820	1150920	平均株価は
1150920	1153640	9000円台から8000円台で推移し
1153640	1155600	その後上昇に展示ました
1156360	1158200	国内事業が定名する中
1158200	1160500	その影響が懸念されていましたが
1160500	1162300	影響は見込みより少なく
1162680	1165060	国内の製造業での設備投資が
1165060	1165060	
1165060	1165060	
1165060	1165060	
1165060	1165060	
1165060	1167080	活発になったことが要因となり
1167080	1168620	株価は持ち直しました
1169960	1170520	一方
1171060	1173560	政府の減税の方針も発表されましたが
1173560	1175340	投資家の評価は低く
1175340	1178220	新たな経済政策が期待されています
1203820	1204520	一番
1205380	1206240	ラジオで
1206240	1207900	女のアナウンサーが
1207900	1208740	話しています
1210840	1212660	せっかく買った植物を
1212660	1214080	出張や旅行で
1214080	1215160	ルスにした際に
1215160	1216920	枯らしてしまったという話を
1216920	1217280	聞きます
1218120	1219100	ルス中に
1219100	1220920	植木の世話を頼めるような
1220920	1222100	近所付き合いがあるに
1222100	1223540	越したことはないのですが
1223540	1225040	なかなかそうも生きている
1225040	1225660	生きませんよね
1226820	1227940	ルスがちだから
1227940	1230360	ペットどころか植物もダメ
1231460	1233260	そんな都会人の悩みを
1233260	1234220	解消しようと
1234220	1235640	ある演芸店が
1235640	1237280	プラントシッターという
1237280	1239160	新たなサービスを始めました
1240340	1241740	ペットを預かるように
1241740	1243460	植物を預かったり
1243460	1245700	客の家まで水やりに
1245700	1246720	行くというものです
1247800	1249200	私が知っている限り
1249200	1253040	演芸店でこのような
1253040	1256260	演芸店ならではの細やかな
1256260	1256860	対応で
1256860	1258920	新しい顧客獲得に
1258920	1259960	つなげていきたいと
1259960	1260820	意気込んでいます
1266740	1268240	女のアナウンサーは
1268240	1270920	何について話していますか
1272440	1272840	一
1273760	1275640	植物を育てることの
1275640	1276700	難しさ
1279240	1279640	二
1280320	1281660	ペットが買えない
1281660	1282560	住宅事情
1285500	1285980	三
1286820	1289340	都会の人間関係
1291600	1292080	四
1293000	1295060	ある演芸店の新たな
1295060	1297760	取り組み
1307600	1307920	二
1307920	1308240	二番
1309020	1310640	テレビでアナウンサーが
1310640	1312460	コメンテーターに意見を
1312460	1313140	聞いています
1315560	1317220	今回若者にターゲットを
1317220	1318960	絞った新しいパソコンが
1318960	1319900	発売されました
1320920	1322660	田中さん今回を
1322660	1324040	使いになってみたそうですが
1324040	1325120	いかがでしたか
1325500	1326680	悪くなかったですよ
1326680	1328000	色もカラフルで
1328000	1331100	この色の選択が自由にできるというのも
1331100	1332540	個性を大切にする
1332540	1334800	今の若者にはぴったりではないでしょうか
1335460	1336720	今の若い人は
