start	end	text
0	7000	シャランベーカー日語更快速高校盲 搜索微信小程序日語輕鬆考
7000	10000	では始めます
13000	15000	一番
15000	20000	スポーツ事務で男の人とインストラクターが話しています
20000	23000	男の人はウォーキングをするとき
23000	28000	これから新たに何に気をつけますか
28000	31000	すみませんちょっとお聞きしたいんですが
31000	32000	はい
32000	34000	毎朝公園をウォーキングしてるんですけど
34000	38000	慣れてきたんでもうちょっと筋肉をつけるのに
38000	41000	効果的な歩き方ってないかなと思って
41000	43000	今はどんな風に歩いてるんですか
43000	47000	接地を伸ばして歩く姿勢に気をつけるとか
47000	50000	手を大きく振るとかしてるんですけどね
50000	52000	どうも効果が感じられなくて
52000	54000	うーん
54000	56000	足を高く上げるように意識して歩くと
56000	58000	すごく効きます
58000	61000	しばらく続けると筋肉がついてきたっていう
61000	63000	実感が得られますよ
63000	64000	なるほど
64000	66000	それはやってなかったな
66000	67000	早速やってみます
67000	70000	それから歩く速度を上げるっていうのも
70000	72000	一つの方法ですよ
72000	74000	それはもう意識してやってます
74000	76000	ありがとうございます
80000	83000	男の人はウォーキングをするとき
83000	86000	これから新たに何に気をつけますか
102000	103000	2番
103000	107000	会社で男の人と女の人が話しています
107000	112000	男の人はこの後まず何をしなければなりませんか
114000	116000	部長
116000	119000	建設予定のマンションについての資料ができました
119000	121000	チェックお願いします
121000	122000	うん
122000	123000	ああ
123000	125000	この公園の写真だけど
125000	128000	これって山田さんが自分で撮影したの?
128000	129000	あ、これ
129000	131000	無料のサイトからダウンロードしたんですけど
131000	133000	それにちょっと手を加えてみました
133000	135000	ああ
135000	136000	そういうサイト
136000	138000	私も使ったことあるけど
138000	139000	無料って言っても
139000	141000	使うには色々条件があってね
141000	144000	勝手に加工しちゃダメなこともあるのよ
144000	145000	え、そうなんですか
145000	147000	知りませんでした
147000	149000	じゃあこの写真は削除します
149000	150000	うーん
150000	152000	近くに公園があることは
152000	154000	このマンションのセールスポイントだから
154000	156000	写真は残しておきたいな
156000	157000	きれいに撮れてるし
157000	159000	加工して使ってもいいか
159000	161000	撮影者に連絡とってみてくれる?
161000	163000	もし今回使えなかったら
163000	166000	その時は山田さんが同じような写真
166000	167000	撮ってきてや
167000	168000	はい
168000	170000	これから無料サイトの写真使うときは
170000	173000	利用条件をちゃんと確認するようにね
173000	174000	はい
174000	175000	わかりました
182000	184000	男の人はこの後まず
184000	186000	何をしなければなりませんか
201000	203000	3番
203000	208000	市役所で男の職員と女の職員が話しています
208000	213000	女の職員はこの後何をしなければなりませんか
214000	215000	鈴木さん
215000	218000	この間頼んだメールを送ってくれた
218000	220000	来月の市民講座の参加者に
220000	221000	はい、昨日
221000	223000	当日の内容
223000	226000	持物や注意事項などお伝えしておきました
226000	227000	ありがとう
227000	230000	でも最近は迷惑メール扱いになって
230000	233000	ちゃんと読んでもらえないこともあるからね
233000	234000	それは大丈夫?
234000	235000	はい
235000	237000	メールを受け取った方には
237000	239000	必ずその胸返信してくださるよう
239000	241000	一言を添えてあります
241000	242000	そう
242000	245000	じゃあ数日経っても返信がない人には
245000	247000	電話するしかないか
247000	248000	それは僕がするよ
248000	249000	はい
249000	251000	あの、当日
251000	253000	参加者には6つのグループに分かれて
253000	255000	作業してもらうんでしたよね
255000	258000	まだグループ分けまで手が回ってないので
258000	260000	これについては連絡できてません
260000	263000	参加者に知らせるのは当日でいいから
263000	265000	グループ分けをやっておいて
265000	268000	なるべく性別や年齢が偏らないように
268000	269000	はい
269000	272000	それから参加者名簿を印刷しておいてくれる?
272000	273000	それなら
273000	275000	メールの受け取り確認用に作って
275000	277000	印刷したものがあります
277000	279000	さすが仕事が早いね
280000	282000	女の職員は
282000	284000	この後何をしなければなりませんか?
303000	304000	4番
304000	307000	女の人と引越し会社の人が話しています
307000	309000	女の人は
309000	311000	引越しの日までに
311000	313000	何をしておかなければなりませんか?
315000	316000	じゃあ
316000	318000	荷物がたくさんありますけど
318000	320000	当日よろしくお願いしますね
320000	321000	はい
321000	322000	お任せください
322000	324000	食器棚やタンスなどの家具は
324000	326000	当日丸ごとコンポをいたしまして
326000	327000	運ばせていただきますね
327000	328000	はい
328000	330000	中に入ってるものはどうしたらいいですか?
330000	331000	あ
331000	333000	お皿につきましては
333000	335000	私どもの方でシートに包んで
335000	337000	箱に詰めさせていただきます
337000	338000	イルイの方は
338000	340000	本日箱をお持ちしましたので
340000	342000	あらかじめそちらに写しておいてください
342000	343000	はい
343000	344000	わかりました
344000	345000	それからと
345000	346000	パソコンは?
346000	347000	はい
347000	349000	お客様はパソコン安心サービスを
349000	351000	申し込まれていますので
351000	353000	当日専門スタッフがしっかりコンポをいたします
353000	355000	データのバックアップにつきましても
355000	357000	お客様の立ち合いのもと
357000	358000	取らせていただきます
358000	360000	ああそうですか
